field_id,year,month,precip,cumulative_precip
osm-1153259427,2020,1,141.19,141.19
osm-1153259427,2020,2,158.42000000000002,299.61
osm-1153259427,2020,3,85.03999999999999,384.65
osm-1153259427,2020,4,135.41,520.06
osm-1153259427,2020,5,211.93,731.99
osm-1153259427,2020,6,74.43,806.4200000000001
osm-1153259427,2020,7,90.35,896.77
osm-1153259427,2020,8,149.57999999999998,1046.35
osm-1153259427,2020,9,136.77,1183.12
osm-1153259427,2020,10,77.15,1260.27
osm-1153259427,2020,11,129.7,1389.97
osm-1153259427,2020,12,91.82,1481.79
osm-1153259427,2021,1,110.53,110.53
osm-1153259427,2021,2,129.29,239.82
osm-1153259427,2021,3,90.98,330.8
osm-1153259427,2021,4,27.82,358.62
osm-1153259427,2021,5,57.32,415.94
osm-1153259427,2021,6,119.61999999999999,535.56
osm-1153259427,2021,7,98.8,634.36
osm-1153259427,2021,8,109.2,743.56
osm-1153259427,2021,9,55.08,798.64
osm-1153259427,2021,10,35.51,834.15
osm-1153259427,2021,11,22.75,856.9
osm-1153259427,2021,12,64.5,921.4
osm-1153259427,2022,1,104.36999999999999,104.36999999999999
osm-1153259427,2022,2,63.69,168.06
osm-1153259427,2022,3,127.67,295.73
osm-1153259427,2022,4,118.83999999999999,414.57
osm-1153259427,2022,5,80.28,494.84999999999997
osm-1153259427,2022,6,46.339999999999996,541.1899999999999
osm-1153259427,2022,7,156.03,697.22
osm-1153259427,2022,8,72.94,770.16
osm-1153259427,2022,9,121.2,891.36
osm-1153259427,2022,10,23.560000000000002,914.92
osm-1153259427,2022,11,126.77000000000001,1041.69
osm-1153259427,2022,12,96.06,1137.75
osm-1153259427,2023,1,138.07999999999998,138.07999999999998
osm-1153259427,2023,2,84.15,222.23
osm-1153259427,2023,3,74.03,296.26
osm-1153259427,2023,4,169.34,465.6
osm-1153259427,2023,5,63.82,529.42
osm-1153259427,2023,6,124.99,654.41
osm-1153259427,2023,7,84.79,739.2
osm-1153259427,2023,8,116.88000000000001,856.08
osm-1153259427,2023,9,46.97,903.05
osm-1153259427,2023,10,30.18,933.23
osm-1153259427,2023,11,49.01,982.24
osm-1153259427,2023,12,175.35999999999999,1157.6
osm-1153259427,2024,1,176.82000000000002,176.82000000000002
osm-1153259427,2024,2,42.44,219.26000000000002
osm-1153259427,2024,3,152.39000000000001,371.65000000000003
osm-1153259427,2024,4,50.94,422.59000000000003
osm-1153259427,2024,5,158.97,581.5600000000001
osm-1153259427,2024,6,44.22,625.78
osm-1153259427,2024,7,193.47,819.25
osm-1153259427,2024,8,178.34,997.59
osm-1153259427,2024,9,224.54,1222.13
osm-1153259427,2024,10,9.19,1231.32
osm-1153259427,2024,11,60.93,1292.25
osm-1153259427,2024,12,85.43,1377.68
osm-1305439648,2020,1,123.75,123.75
osm-1305439648,2020,2,176.92000000000002,300.67
osm-1305439648,2020,3,65.69,366.36
osm-1305439648,2020,4,157.0,523.36
osm-1305439648,2020,5,221.59,744.95
osm-1305439648,2020,6,111.74000000000001,856.69
osm-1305439648,2020,7,83.91,940.6
osm-1305439648,2020,8,224.28,1164.88
osm-1305439648,2020,9,140.88,1305.76
osm-1305439648,2020,10,137.12,1442.88
osm-1305439648,2020,11,134.73000000000002,1577.6100000000001
osm-1305439648,2020,12,104.33,1681.94
osm-1305439648,2021,1,86.56,86.56
osm-1305439648,2021,2,116.33,202.89
osm-1305439648,2021,3,129.31,332.2
osm-1305439648,2021,4,36.61,368.81
osm-1305439648,2021,5,65.78,434.59
osm-1305439648,2021,6,77.15,511.74
osm-1305439648,2021,7,115.31,627.05
osm-1305439648,2021,8,125.97,753.02
osm-1305439648,2021,9,88.02,841.04
osm-1305439648,2021,10,84.12,925.16
osm-1305439648,2021,11,16.63,941.79
osm-1305439648,2021,12,28.88,970.67
osm-1305439648,2022,1,94.17,94.17
osm-1305439648,2022,2,103.36,197.53
osm-1305439648,2022,3,107.25,304.78
osm-1305439648,2022,4,70.17999999999999,374.96
osm-1305439648,2022,5,130.53,505.49
osm-1305439648,2022,6,35.94,541.4300000000001
osm-1305439648,2022,7,179.47,720.9
osm-1305439648,2022,8,103.77,824.67
osm-1305439648,2022,9,133.94,958.61
osm-1305439648,2022,10,43.06,1001.6700000000001
osm-1305439648,2022,11,135.0,1136.67
osm-1305439648,2022,12,97.91999999999999,1234.59
osm-1305439648,2023,1,107.39999999999999,107.39999999999999
osm-1305439648,2023,2,81.75,189.14999999999998
osm-1305439648,2023,3,73.02,262.16999999999996
osm-1305439648,2023,4,154.69,416.86
osm-1305439648,2023,5,76.28,493.14
osm-1305439648,2023,6,141.42,634.56
osm-1305439648,2023,7,101.92,736.48
osm-1305439648,2023,8,130.98,867.46
osm-1305439648,2023,9,66.31,933.77
osm-1305439648,2023,10,20.979999999999997,954.75
osm-1305439648,2023,11,42.480000000000004,997.23
osm-1305439648,2023,12,180.38,1177.61
osm-1305439648,2024,1,186.10000000000002,186.10000000000002
osm-1305439648,2024,2,46.839999999999996,232.94000000000003
osm-1305439648,2024,3,127.16,360.1
osm-1305439648,2024,4,53.98,414.08000000000004
osm-1305439648,2024,5,184.33,598.4100000000001
osm-1305439648,2024,6,30.03,628.44
osm-1305439648,2024,7,154.16,782.6
osm-1305439648,2024,8,161.63,944.23
osm-1305439648,2024,9,245.19,1189.42
osm-1305439648,2024,10,8.43,1197.85
osm-1305439648,2024,11,49.48,1247.33
osm-1305439648,2024,12,105.28,1352.6100000000001
osm-1386621285,2020,1,123.75,123.75
osm-1386621285,2020,2,176.92000000000002,300.67
osm-1386621285,2020,3,65.69,366.36
osm-1386621285,2020,4,157.0,523.36
osm-1386621285,2020,5,221.59,744.95
osm-1386621285,2020,6,111.74000000000001,856.69
osm-1386621285,2020,7,83.91,940.6
osm-1386621285,2020,8,224.28,1164.88
osm-1386621285,2020,9,140.88,1305.76
osm-1386621285,2020,10,137.12,1442.88
osm-1386621285,2020,11,134.73000000000002,1577.6100000000001
osm-1386621285,2020,12,104.33,1681.94
osm-1386621285,2021,1,86.56,86.56
osm-1386621285,2021,2,116.33,202.89
osm-1386621285,2021,3,129.31,332.2
osm-1386621285,2021,4,36.61,368.81
osm-1386621285,2021,5,65.78,434.59
osm-1386621285,2021,6,77.15,511.74
osm-1386621285,2021,7,115.31,627.05
osm-1386621285,2021,8,125.97,753.02
osm-1386621285,2021,9,88.02,841.04
osm-1386621285,2021,10,84.12,925.16
osm-1386621285,2021,11,16.63,941.79
osm-1386621285,2021,12,28.88,970.67
osm-1386621285,2022,1,94.17,94.17
osm-1386621285,2022,2,103.36,197.53
osm-1386621285,2022,3,107.25,304.78
osm-1386621285,2022,4,70.17999999999999,374.96
osm-1386621285,2022,5,130.53,505.49
osm-1386621285,2022,6,35.94,541.4300000000001
osm-1386621285,2022,7,179.47,720.9
osm-1386621285,2022,8,103.77,824.67
osm-1386621285,2022,9,133.94,958.61
osm-1386621285,2022,10,43.06,1001.6700000000001
osm-1386621285,2022,11,135.0,1136.67
osm-1386621285,2022,12,97.91999999999999,1234.59
osm-1386621285,2023,1,107.39999999999999,107.39999999999999
osm-1386621285,2023,2,81.75,189.14999999999998
osm-1386621285,2023,3,73.02,262.16999999999996
osm-1386621285,2023,4,154.69,416.86
osm-1386621285,2023,5,76.28,493.14
osm-1386621285,2023,6,141.42,634.56
osm-1386621285,2023,7,101.92,736.48
osm-1386621285,2023,8,130.98,867.46
osm-1386621285,2023,9,66.31,933.77
osm-1386621285,2023,10,20.979999999999997,954.75
osm-1386621285,2023,11,42.480000000000004,997.23
osm-1386621285,2023,12,180.38,1177.61
osm-1386621285,2024,1,186.10000000000002,186.10000000000002
osm-1386621285,2024,2,46.839999999999996,232.94000000000003
osm-1386621285,2024,3,127.16,360.1
osm-1386621285,2024,4,53.98,414.08000000000004
osm-1386621285,2024,5,184.33,598.4100000000001
osm-1386621285,2024,6,30.03,628.44
osm-1386621285,2024,7,154.16,782.6
osm-1386621285,2024,8,161.63,944.23
osm-1386621285,2024,9,245.19,1189.42
osm-1386621285,2024,10,8.43,1197.85
osm-1386621285,2024,11,49.48,1247.33
osm-1386621285,2024,12,105.28,1352.6100000000001
osm-260949778,2020,1,121.21,121.21
osm-260949778,2020,2,147.45,268.65999999999997
osm-260949778,2020,3,61.13,329.78999999999996
osm-260949778,2020,4,123.63,453.41999999999996
osm-260949778,2020,5,162.7,616.1199999999999
osm-260949778,2020,6,131.89,748.01
osm-260949778,2020,7,90.07,838.0799999999999
osm-260949778,2020,8,186.04000000000002,1024.12
osm-260949778,2020,9,156.64,1180.76
osm-260949778,2020,10,89.18,1269.94
osm-260949778,2020,11,176.54,1446.48
osm-260949778,2020,12,132.76999999999998,1579.25
osm-260949778,2021,1,111.18,111.18
osm-260949778,2021,2,147.21,258.39
osm-260949778,2021,3,94.88,353.27
osm-260949778,2021,4,34.67,387.94
osm-260949778,2021,5,47.92,435.86
osm-260949778,2021,6,112.97999999999999,548.84
osm-260949778,2021,7,138.06,686.9
osm-260949778,2021,8,106.41,793.31
osm-260949778,2021,9,96.06,889.37
osm-260949778,2021,10,77.12,966.49
osm-260949778,2021,11,12.66,979.15
osm-260949778,2021,12,39.480000000000004,1018.63
osm-260949778,2022,1,126.55,126.55
osm-260949778,2022,2,61.08,187.63
osm-260949778,2022,3,122.22,309.85
osm-260949778,2022,4,92.23,402.08
osm-260949778,2022,5,131.29,533.37
osm-260949778,2022,6,37.27,570.64
osm-260949778,2022,7,152.54,723.1800000000001
osm-260949778,2022,8,77.59,800.77
osm-260949778,2022,9,122.12,922.89
osm-260949778,2022,10,30.57,953.46
osm-260949778,2022,11,128.32999999999998,1081.79
osm-260949778,2022,12,92.58,1174.37
osm-260949778,2023,1,94.59,94.59
osm-260949778,2023,2,70.88,165.47
osm-260949778,2023,3,74.6,240.07
osm-260949778,2023,4,181.24,421.31
osm-260949778,2023,5,58.78,480.09000000000003
osm-260949778,2023,6,114.28,594.37
osm-260949778,2023,7,130.44,724.81
osm-260949778,2023,8,94.17999999999999,818.99
osm-260949778,2023,9,102.56,921.55
osm-260949778,2023,10,38.339999999999996,959.89
osm-260949778,2023,11,46.11,1006.0
osm-260949778,2023,12,177.42000000000002,1183.42
osm-260949778,2024,1,155.59,155.59
osm-260949778,2024,2,42.86,198.45
osm-260949778,2024,3,123.85,322.3
osm-260949778,2024,4,34.34,356.64
osm-260949778,2024,5,177.57,534.21
osm-260949778,2024,6,30.67,564.88
osm-260949778,2024,7,202.96,767.8399999999999
osm-260949778,2024,8,189.32999999999998,957.17
osm-260949778,2024,9,213.83,1171.0
osm-260949778,2024,10,6.12,1177.12
osm-260949778,2024,11,46.5,1223.62
osm-260949778,2024,12,75.36,1298.98
osm-813157720,2020,1,110.98,110.98
osm-813157720,2020,2,143.76,254.74
osm-813157720,2020,3,60.25,314.99
osm-813157720,2020,4,116.6,431.59000000000003
osm-813157720,2020,5,111.63,543.22
osm-813157720,2020,6,200.06,743.28
osm-813157720,2020,7,71.67,814.95
osm-813157720,2020,8,193.91,1008.86
osm-813157720,2020,9,187.54,1196.4
osm-813157720,2020,10,106.19,1302.59
osm-813157720,2020,11,167.42,1470.01
osm-813157720,2020,12,144.21,1614.22
osm-813157720,2021,1,116.45,116.45
osm-813157720,2021,2,154.93,271.38
osm-813157720,2021,3,95.22,366.6
osm-813157720,2021,4,43.85,410.45
osm-813157720,2021,5,43.71,454.15999999999997
osm-813157720,2021,6,95.96,550.12
osm-813157720,2021,7,152.84,702.96
osm-813157720,2021,8,126.07,829.03
osm-813157720,2021,9,77.16,906.1899999999999
osm-813157720,2021,10,69.53999999999999,975.73
osm-813157720,2021,11,11.18,986.91
osm-813157720,2021,12,37.85,1024.76
osm-813157720,2022,1,127.32,127.32
osm-813157720,2022,2,53.46,180.78
osm-813157720,2022,3,112.00999999999999,292.78999999999996
osm-813157720,2022,4,63.86,356.65
osm-813157720,2022,5,121.85000000000001,478.5
osm-813157720,2022,6,57.3,535.8
osm-813157720,2022,7,154.88,690.6800000000001
osm-813157720,2022,8,79.36,770.04
osm-813157720,2022,9,109.97999999999999,880.02
osm-813157720,2022,10,34.08,914.1
osm-813157720,2022,11,128.08,1042.18
osm-813157720,2022,12,98.54,1140.72
osm-813157720,2023,1,87.91,87.91
osm-813157720,2023,2,66.36999999999999,154.27999999999997
osm-813157720,2023,3,68.95,223.23
osm-813157720,2023,4,177.11,400.34000000000003
osm-813157720,2023,5,68.93,469.27
osm-813157720,2023,6,108.55,577.82
osm-813157720,2023,7,138.04,715.86
osm-813157720,2023,8,98.3,814.16
osm-813157720,2023,9,135.28,949.44
osm-813157720,2023,10,37.4,986.84
osm-813157720,2023,11,48.66,1035.5
osm-813157720,2023,12,179.35,1214.85
osm-813157720,2024,1,146.72,146.72
osm-813157720,2024,2,55.61,202.32999999999998
osm-813157720,2024,3,147.54,349.87
osm-813157720,2024,4,32.62,382.49
osm-813157720,2024,5,174.76,557.25
osm-813157720,2024,6,43.0,600.25
osm-813157720,2024,7,236.08,836.33
osm-813157720,2024,8,150.99,987.32
osm-813157720,2024,9,176.22,1163.54
osm-813157720,2024,10,12.22,1175.76
osm-813157720,2024,11,47.14,1222.9
osm-813157720,2024,12,72.97999999999999,1295.88
